model; shuffled; c; degree; gamma; epsilon; r2; rmse
linear; True; 0.1; 2; 0.1; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; 0.1; 0.2; 0.3311917099388756; 0.7573735824128749
rbf; True; 0.1; 2; 0.1; 0.2; 0.5954559122575763; 0.5890365693249441
linear; False; 0.1; 2; 0.1; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; 0.1; 0.2; 0.09899555834909923; 0.945963573753421
rbf; False; 0.1; 2; 0.1; 0.2; 0.5330337641603998; 0.6810103107140316
linear; True; 0.1; 2; 0.1; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; 0.1; 0.2; 0.3311917099388756; 0.7573735824128749
rbf; True; 0.1; 2; 0.1; 0.2; 0.5954559122575763; 0.5890365693249441
linear; False; 0.1; 2; 0.1; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; 0.1; 0.2; 0.09899555834909923; 0.945963573753421
rbf; False; 0.1; 2; 0.1; 0.2; 0.5330337641603998; 0.6810103107140316
linear; True; 0.1; 2; 0.1; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; 0.1; 0.2; 0.3311917099388756; 0.7573735824128749
rbf; True; 0.1; 2; 0.1; 0.2; 0.5954559122575763; 0.5890365693249441
linear; False; 0.1; 2; 0.1; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; 0.1; 0.2; 0.09899555834909923; 0.945963573753421
rbf; False; 0.1; 2; 0.1; 0.2; 0.5330337641603998; 0.6810103107140316
linear; True; 0.1; 2; 0.1; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; 0.1; 0.3; 0.3430887816649757; 0.7506070999688361
rbf; True; 0.1; 2; 0.1; 0.3; 0.5921491187786025; 0.5914390986112565
linear; False; 0.1; 2; 0.1; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; 0.1; 0.3; 0.12280321984950593; 0.9333820868953191
rbf; False; 0.1; 2; 0.1; 0.3; 0.5283078585845149; 0.6844476989440031
linear; True; 0.1; 2; 0.1; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; 0.1; 0.3; 0.3430887816649757; 0.7506070999688361
rbf; True; 0.1; 2; 0.1; 0.3; 0.5921491187786025; 0.5914390986112565
linear; False; 0.1; 2; 0.1; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; 0.1; 0.3; 0.12280321984950593; 0.9333820868953191
rbf; False; 0.1; 2; 0.1; 0.3; 0.5283078585845149; 0.6844476989440031
linear; True; 0.1; 2; 0.1; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; 0.1; 0.3; 0.3430887816649757; 0.7506070999688361
rbf; True; 0.1; 2; 0.1; 0.3; 0.5921491187786025; 0.5914390986112565
linear; False; 0.1; 2; 0.1; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; 0.1; 0.3; 0.12280321984950593; 0.9333820868953191
rbf; False; 0.1; 2; 0.1; 0.3; 0.5283078585845149; 0.6844476989440031
linear; True; 0.1; 2; 0.1; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; 0.1; 0.3; 0.3430887816649757; 0.7506070999688361
rbf; True; 0.1; 2; 0.1; 0.3; 0.5921491187786025; 0.5914390986112565
linear; False; 0.1; 2; 0.1; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; 0.1; 0.3; 0.12280321984950593; 0.9333820868953191
rbf; False; 0.1; 2; 0.1; 0.3; 0.5283078585845149; 0.6844476989440031
linear; True; 0.1; 2; 0.1; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; 0.1; 0.4; 0.3530888445289152; 0.7448719993731953
rbf; True; 0.1; 2; 0.1; 0.4; 0.5842427214180685; 0.5971442562770487
linear; False; 0.1; 2; 0.1; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; 0.1; 0.4; 0.14360956321415652; 0.9222461520033913
rbf; False; 0.1; 2; 0.1; 0.4; 0.5279891680655648; 0.6846788774418455
linear; True; 0.1; 2; 0.1; 0.4; 0.5282981082969016; 0.6360527545658448
