model; shuffled; n_neighbors; weights; algorithm; leaf_size; r2; rmse
KNN; False; 5; uniform; ball_tree; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; distance; auto; 20; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 30; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 40; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 40; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 50; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 50; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 20; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 30; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 40; 0.7177168351422418; 0.49204159515222906
