model; shuffled; hidden_layers; units; learning_rate; epochs; dropout_rate; r2; rmse
RF; False; 2; 32; 0.001; 100; 0.0; 0.5204515158372709; 0.6901241236264579
RF; True; 2; 32; 0.001; 100; 0.2; 0.5619449710818505; 0.6129480447499356
RF; False; 2; 32; 0.001; 100; 0.2; 0.5208415874420995; 0.6898433881034159
RF; True; 2; 32; 0.001; 100; 0.5; 0.545013713725865; 0.624681266597888
RF; False; 2; 32; 0.001; 100; 0.5; 0.4220968717291149; 0.757597390442859
RF; True; 2; 64; 0.1; 50; 0.0; 0.2762197868838132; 0.7878847269963447
RF; False; 2; 64; 0.1; 50; 0.0; 0.5798471839408106; 0.6459733283534317
RF; True; 2; 64; 0.1; 50; 0.2; 0.4806255970368092; 0.6674205887499386
RF; False; 2; 64; 0.1; 50; 0.2; 0.34612642775201863; 0.8058567347055724
RF; True; 2; 64; 0.1; 50; 0.5; 0.4860503002402261; 0.6639259400130461
RF; False; 2; 64; 0.1; 50; 0.5; 0.25492273074660554; 0.860224097835467
RF; True; 2; 64; 0.1; 100; 0.0; 0.31032764003986013; 0.7690963306480691
RF; False; 2; 64; 0.1; 100; 0.0; 0.2769383697936829; 0.8474197966459226
RF; True; 2; 64; 0.1; 100; 0.2; 1.44355935227658e-06; 0.9261024120556376
RF; False; 2; 64; 0.1; 100; 0.2; 0.5575461219360038; 0.6628953160975843
RF; True; 2; 64; 0.1; 100; 0.5; 0.3006194052438137; 0.7744905406851796
RF; False; 2; 64; 0.1; 100; 0.5; 0.0007671634189814203; 0.9961948586782803
RF; True; 2; 64; 0.01; 50; 0.0; 0.627736200412866; 0.5650472058348532
RF; False; 2; 64; 0.01; 50; 0.0; 0.6295878690830401; 0.6065317615886837
RF; True; 2; 64; 0.01; 50; 0.2; 0.585756414271827; 0.596056220941831
RF; False; 2; 64; 0.01; 50; 0.2; 0.4981907310887578; 0.7059603127407723
RF; True; 2; 64; 0.01; 50; 0.5; 0.6180826744218905; 0.5723267027530391
RF; False; 2; 64; 0.01; 50; 0.5; 0.5947257773976765; 0.6344325228513175
RF; True; 2; 64; 0.01; 100; 0.0; 0.6148693890310845; 0.5747293130288283
RF; False; 2; 64; 0.01; 100; 0.0; 0.5820683258593775; 0.644263593608285
RF; True; 2; 64; 0.01; 100; 0.2; 0.61891442459587; 0.5717031485638405
RF; False; 2; 64; 0.01; 100; 0.2; 0.606476665470543; 0.6251672113689636
RF; True; 2; 64; 0.01; 100; 0.5; 0.5552311806977668; 0.6176273159877229
RF; False; 2; 64; 0.01; 100; 0.5; 0.6352683264137294; 0.6018630575679114
RF; True; 2; 64; 0.001; 50; 0.0; 0.5949036578431329; 0.5894384873270676
RF; False; 2; 64; 0.001; 50; 0.0; 0.5925958082417424; 0.6360975076572621
RF; True; 2; 64; 0.001; 50; 0.2; 0.6041160503602915; 0.5826976626570038
